TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
11,-0.009664265,-0.0206141,7.787392,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.02926718,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.009664265,-0.03580148,-0.009664265,-0.02273287,-0.05346357,-0.009664265,-0.02273287,-0.009664265,-0.009664265,-0.009664265,-0.02273287,-0.01619857
12,-0.01062561,-0.02265735,8.352842,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.03216892,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.01062561,-0.03935003,-0.01062561,-0.02498782,-0.05875251,-0.01062561,-0.02498782,-0.01062561,-0.01062561,-0.01062561,-0.02498782,-0.01780671
13,-0.01156185,-0.02460538,9.196324,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.03494202,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.01156185,-0.04273542,-0.01156185,-0.02714864,-0.06373588,-0.01156185,-0.02714864,-0.01156185,-0.01156185,-0.01156185,-0.02714864,-0.01935525
14,-0.01244624,-0.02635719,10.58836,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.03744981,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.01244624,-0.04578434,-0.01244624,-0.02911529,-0.06808995,-0.01244624,-0.02911529,-0.01244624,-0.01244624,-0.01244624,-0.02911529,-0.02078076
15,-0.01344624,-0.02854719,10.58736,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.04054981,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.01344624,-0.04958434,-0.01344624,-0.03151529,-0.07384995,-0.01344624,-0.03151529,-0.01344624,-0.01344624,-0.01344624,-0.03151529,-0.02248077
16,-0.01444624,-0.03073719,10.58636,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.04364981,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.01444624,-0.05338434,-0.01444624,-0.03391529,-0.07960995,-0.01444624,-0.03391529,-0.01444624,-0.01444624,-0.01444624,-0.03391529,-0.02418077
17,-0.01544624,-0.03292719,10.58536,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.04674981,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.01544624,-0.05718434,-0.01544624,-0.03631529,-0.08536994,-0.01544624,-0.03631529,-0.01544624,-0.01544624,-0.01544624,-0.03631529,-0.02588077
18,-0.01644624,-0.03511719,10.58436,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.04984981,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.01644624,-0.06098434,-0.01644624,-0.03871529,-0.09112994,-0.01644624,-0.03871529,-0.01644624,-0.01644624,-0.01644624,-0.03871529,-0.02758077
19,-0.01738045,-0.03705725,11.13862,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.05261226,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.01738045,-0.0643562,-0.01738045,-0.04086833,-0.09608758,-0.01738045,-0.04086833,-0.01738045,-0.01738045,-0.01738045,-0.04086833,-0.0291244
20,-0.01810341,-0.03819808,10.96007,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.05429402,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.01810341,-0.06635755,-0.01810341,-0.04223049,-0.09848206,-0.01810341,-0.04223049,-0.01810341,-0.01810341,-0.01810341,-0.04223049,-0.03016695
